C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2007-01-09T19.12.03.013000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/explosions/2015-12-22T03.30.26.235000Z.h5,explosion
C:\Documents\Thesis_ssd\data_tord_may2020/explosions/2011-07-08T22.45.54.632000Z.h5,explosion
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2017-04-01T00.29.21.053000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2017-03-27T20_28_48.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/explosions/1996-06-30T22.34.55.844000Z.h5,explosion
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2005-09-27T17_24_18.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/explosions/2009-08-27T09.41.20.996000Z.h5,explosion
C:\Documents\Thesis_ssd\data_tord_may2020/explosions/2008-01-03T10.47.27.105000Z.h5,explosion
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2012-11-14T19_46_07.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2003-02-21T10_51_27.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2012-12-04T22.56.14.621000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2016-01-13T07.01.13.503000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2004-02-05T15_13_56.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/explosions/2017-06-01T03.45.17.444000Z.h5,explosion
C:\Documents\Thesis_ssd\data_tord_may2020/explosions/2013-03-12T03.33.23.066000Z.h5,explosion
C:\Documents\Thesis_ssd\data_tord_may2020/explosions/1993-09-24T11.53.56.418000Z.h5,explosion
C:\Documents\Thesis_ssd\data_tord_may2020/explosions/2012-11-24T16.26.55.274000Z.h5,explosion
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2002-03-15T09_40_51.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2008-05-28T08_46_43.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2012-09-05T10_27_47.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2018-06-27T07.23.23.521000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2009-03-02T23_01_04.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2016-12-06T08.49.32.407000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2008-08-15T15.56.54.967000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2013-05-27T06_22_45.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2009-10-16T01.04.36.292000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2007-10-02T15.56.28.182000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/explosions/1995-11-11T10.03.32.873000Z.h5,explosion
C:\Documents\Thesis_ssd\data_tord_may2020/explosions/2012-12-10T02.20.35.018000Z.h5,explosion
C:\Documents\Thesis_ssd\data_tord_may2020/explosions/2016-03-07T19.45.49.287000Z.h5,explosion
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2011-09-04T01_54_21.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2016-12-26T02.31.48.554000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/explosions/2016-01-27T17.10.25.183000Z.h5,explosion
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2014-06-10T07.35.30.458000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/explosions/2012-07-16T09.38.21.081000Z.h5,explosion
