C:\Documents\Thesis_ssd\data_tord_may2020/noise/2013-05-07T15_54_42.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2010-07-08T20_01_05.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2015-01-21T10.15.51.900000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2002-05-08T08_17_44.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2020-03-06T02.22.40.935000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2011-06-14T16.29.36.851000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2016-11-28T07_56_17.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2014-03-31T16_45_56.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2009-02-28T10.14.33.547000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2015-05-29T09.29.55.413000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2013-01-29T10.46.54.845000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2013-03-26T09_35_56.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2018-10-20T22_03_00.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2005-06-30T17_50_20.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2014-09-05T01.24.08.903000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2016-11-24T07.15.57.810000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2019-12-22T21.20.48.017000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2007-02-21T09.41.40.137000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2009-05-03T11.24.44.686000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2010-10-13T07.56.43.991000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2019-12-18T04.05.26.396000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2015-09-27T00_08_11.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2011-09-18T00.25.16.643000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2016-09-01T05_37_48.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2016-09-22T09.31.17.711000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2009-09-29T15.29.11.580000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2008-09-27T00_57_08.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2017-05-27T11.21.18.986000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2015-06-06T15.22.51.342000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2015-09-10T08.23.24.025000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2016-09-20T03.48.15.945000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2018-08-05T09_23_40.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2018-09-12T21.03.25.896000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2007-11-13T13.44.55.735000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2000-12-24T02_29_23.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/noise/1999-01-20T19_04_58.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2007-10-10T07.47.37.275000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2019-06-25T23.18.32.178000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2014-08-09T23.25.32.500000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2009-01-08T03.24.55.545000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2013-06-22T17.36.37.021000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2018-02-19T22.24.32.147000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2011-08-26T10_31_46.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2010-03-10T04.50.11.683000Z.h5,earthquake
C:\Documents\Thesis_ssd\data_tord_may2020/noise/2014-10-06T07_10_48.000000Z.h5,noise
C:\Documents\Thesis_ssd\data_tord_may2020/earthquakes/2011-03-27T15.46.29.147000Z.h5,earthquake
